,Key,Value
106,.,1
17,AAPL,12
20,AMD,2
64,AMZN,2
102,APPL,1
96,APPLE,1
3,AT&T,1
36,Action Alerts PLUS,1
22,Advanced Micro Devices,3
143,Alibaba,2
146,Alibaba Group Holding,1
11,Alphabet,8
10,Amazon,9
14,Amazon Prime Video,1
63,Amazon.com,1
21,Amgen,3
164,Amgen Inc,1
1,Apple,111
82,Apple Arcade,1
80,Apple Inc,1
59,Apple Inc.,3
168,Apple Original Films,1
134,Aristotle Atlantic,1
133,"Aristotle Atlantic Partners, LLC",1
119,Arm,1
69,Arm Holdings,1
107,Automattic,1
167,BDX,1
118,Barclays,2
136,Becton,1
162,"Becton, Dickinson",1
166,"Becton, Dickinson and Company",1
112,Beeper,1
70,Berkshire,2
47,Berkshire Hathaway,5
121,Big,2
87,Big Tech,1
77,Broadcom,1
46,Bulls,1
98,CONGRESS,1
74,Canalys,1
16,Caterpillar,1
131,Chevron,2
24,Clear Secure,1
100,Congress,1
93,Corning,2
145,Counterpoint Research,2
5,Czech National Bank,1
137,Dickinson,1
111,Discord,1
79,Discovery,1
81,Disney,2
94,Display Technologies,1
90,Dojo,1
161,Dow Jones Market Data,1
120,EU,1
124,Evercore,1
104,FS Investments,1
56,FTX,1
6,Fed,5
8,Federal Reserve,5
52,Federal Trade,1
76,Forbes,2
75,Foxconn,13
126,Foxconn Technology,1
125,Foxconn Technology Group,1
62,GOOGL,2
128,GRMN,1
127,Garmin,1
148,Global Times,2
15,Google,10
92,Google Bard,1
117,Hermès,1
130,Hess,2
153,Hon Hai,1
147,Hon Hai Precision Industry,1
72,Honor,1
71,Huawei,3
73,Huawei Technologies,2
83,Hulu,1
67,INTC,1
53,ITC,2
42,Information Technology,1
66,Intel,1
28,International Trade Commission,1
7,Investing.com,2
122,J.P. Morgan,1
140,JD.com,2
123,Kansas City Chief,1
150,Large Cap Focused Growth Fund,1
158,Life360,1
110,LinkedIn,1
55,Luxshare,2
27,MASI,1
61,META,1
129,MN,1
65,MSFT,1
101,Magnificent,2
60,Magnificent Seven,1
26,Masimo,4
160,McKinsey,1
49,Meta,9
48,Meta Platforms,3
4,Microsoft,11
159,Ministry of Industry and Inform,1
95,Monness,1
157,Monster Beverage,1
23,Motley Fool,1
165,N,1
68,NVDA,1
99,National Economic Council,1
13,Netflix,6
86,New York Stock Exchange,1
12,Nvidia,8
34,OLED,1
132,Okta,1
89,Optimus,1
141,PDD Holdings,3
84,Paramount+,1
116,Parliament,1
155,PayPal,1
156,PayPal Holdings,1
142,Pinduoduo,3
35,QCOM,1
32,Qualcomm,5
163,Research Daily,1
54,Reuters,2
103,S&P,2
108,Slack,1
115,Spotify,1
152,Standard & Poor,1
144,Taobao,3
38,Tata,1
45,Tata Electronics Private Limited,1
40,Tata Group,1
109,Telegram,1
2,Tesla,9
78,Texas Instruments,1
113,Texts,1
105,Texts.com,1
57,The Journal,1
51,The Wall Street Journal,1
85,TheStreet,1
88,Treasury,3
25,U.S. International Trade Commission,4
154,U.S. Treasury,1
114,UAW,1
29,USITC,1
138,UnitedHealth,1
33,Universal Display,1
0,Vanguard,1
139,Verisk,1
97,WHITE,1
50,WSJ,1
151,Wedgewood Composite,1
149,Wedgewood Partners,1
39,Wistron,1
41,Wistron Corp,1
44,Wistron InfoComm Manufacturing India Private Limited,1
43,X,2
18,Yahoo Finance,6
19,Yahoo Finance Live,5
135,Zacks Analyst,1
31,Zedge,1
37,Zedge Inc,1
30,"Zedge, Inc",1
58,Zuma Press,1
9,bird,1
91,conn,1
