,Key,Value
75,Foxconn,13
4,Microsoft,11
15,Google,10
10,Amazon,9
49,Meta,9
2,Tesla,9
11,Alphabet,8
12,Nvidia,8
13,Netflix,6
47,Berkshire Hathaway,5
6,Federal Reserve,5
8,Federal Reserve,5
32,Qualcomm,5
26,Masimo,4
25,U.S. International Trade Commission,4
22,Advanced Micro Devices,3
21,Amgen,3
59,Apple Inc.,3
71,Huawei,3
48,Meta,3
141,PDD Holdings,3
142,PDD Holdings,3
144,Taobao,3
88,Treasury,3
20,Advanced Micro Devices,2
64,Amazon,2
143,Alibaba,2
118,Barclays,2
70,Berkshire Hathaway,2
121,Big,2
131,Chevron,2
93,Corning,2
145,Counterpoint Research,2
81,Disney,2
76,Forbes,2
62,Google,2
148,Global Times,2
130,Hess,2
73,Huawei,2
53,ITC,2
7,Investing.com,2
140,JD.com,2
55,Luxshare,2
101,Magnificent,2
54,Reuters,2
103,S&P,2
43,X,2
106,.,1
102,APPL,1
96,APPLE,1
3,AT&T,1
36,Action Alerts PLUS,1
146,Alibaba Group Holding,1
14,Amazon,1
63,Amazon,1
164,Amgen,1
82,Apple Arcade,1
80,Apple Inc,1
168,Apple Original Films,1
134,Aristotle Atlantic,1
133,"Aristotle Atlantic Partners, LLC",1
119,Arm,1
69,Arm Holdings,1
107,Automattic,1
167,BDX,1
136,Becton,1
162,"Becton, Dickinson",1
166,"Becton, Dickinson and Company",1
112,Beeper,1
87,Big Tech,1
77,Broadcom,1
46,Bulls,1
98,CONGRESS,1
74,Canalys,1
16,Caterpillar,1
24,Clear Secure,1
100,Congress,1
5,Czech National Bank,1
137,Dickinson,1
111,Discord,1
79,Discovery,1
94,Display Technologies,1
90,Dojo,1
161,Dow Jones Market Data,1
120,EU,1
124,Evercore,1
104,FS Investments,1
56,FTX,1
52,Federal Trade,1
126,Foxconn,1
125,Foxconn,1
128,GRMN,1
127,Garmin,1
92,Google,1
117,Hermès,1
153,Hon Hai,1
147,Hon Hai Precision Industry,1
72,Honor,1
83,Hulu,1
67,INTC,1
42,Information Technology,1
66,Intel,1
28,International Trade Commission,1
122,J.P. Morgan,1
123,Kansas City Chief,1
150,Large Cap Focused Growth Fund,1
158,Life360,1
110,LinkedIn,1
27,Masimo,1
61,Meta,1
129,MN,1
65,Microsoft,1
60,Magnificent Seven,1
160,McKinsey,1
159,Ministry of Industry and Inform,1
95,Monness,1
157,Monster Beverage,1
23,Motley Fool,1
165,N,1
68,Nvidia,1
99,National Economic Council,1
86,New York Stock Exchange,1
34,OLED,1
132,Okta,1
89,Optimus,1
84,Paramount+,1
116,Parliament,1
155,PayPal,1
156,PayPal Holdings,1
35,Qualcomm,1
163,Research Daily,1
108,Slack,1
115,Spotify,1
152,Standard & Poor,1
38,Tata,1
45,Tata Electronics Private Limited,1
40,Tata Group,1
109,Telegram,1
78,Texas Instruments,1
113,Texts,1
105,Texts.com,1
57,The Journal,1
51,The Wall Street Journal,1
85,TheStreet,1
154,U.S. Treasury,1
114,UAW,1
29,USITC,1
138,UnitedHealth,1
33,Universal Display,1
0,Vanguard,1
139,Verisk,1
97,WHITE,1
50,WSJ,1
151,Wedgewood Composite,1
149,Wedgewood Partners,1
39,Wistron,1
41,Wistron Corp,1
44,Wistron InfoComm Manufacturing India Private Limited,1
135,Zacks Analyst,1
31,Zedge,1
37,Zedge Inc,1
30,"Zedge, Inc",1
58,Zuma Press,1
9,bird,1
91,conn,1
