,title,desc,url,source,date,sentiment,confidence
0,The Nasdaq's fallen into a correction – what investors should consider,The Nasdaq is down — but investors should focus on quality companies in the tech heavy index.,https://finance.yahoo.com/news/the-nasdaqs-fallen-into-a-correction--what-investors-should-consider-123057423.html,Yahoo Finance,2023-10-29,negative,0.873950183391571
1,1 Incredibly Cheap Artificial Intelligence Stock to Buy Before It Jumps 88%,This company's latest results indicate that things are about to get better following a difficult start to the year.,https://finance.yahoo.com/m/7a69cae2-770c-34fe-8f4e-d746c9992e96/1-incredibly-cheap-artificial.html,Motley Fool,2023-10-29,positive,0.948909342288971
2,"Bargain Hunting in Semiconductor Stocks: Down 25%, Texas Instruments is a Top Stock to Buy","Shares of Texas Instruments (NASDAQ: TXN) have taken a beating, and business has gotten worse while semiconductor stocks like Nvidia (NASDAQ: NVDA) and Taiwan Semiconductor (NYSE: TSM) have moved higher.",https://finance.yahoo.com/m/859eaddd-4033-32bc-9134-c1ae442de477/bargain-hunting-in.html,Motley Fool,2023-10-29,negative,0.9715878367424011
3,"A Bull Market Is Coming: 2 ""Magnificent Seven"" Stocks to Buy Hand Over Fist Before They Rally 36% and 52%, According to Wall Street","Amazon and Nvidia have been among this year's best performers, and they still have plenty of room to run.",https://finance.yahoo.com/m/f94d271b-1b4e-3d35-a139-421590827f4f/a-bull-market-is-coming-2.html,Motley Fool,2023-10-29,positive,0.8595507144927979
4,"1 Magnificent Stock on Its Way to Join Apple, Microsoft, Amazon, Alphabet, and Nvidia in the $1 Trillion Club","Apple was the first company ever to achieve a $1 trillion valuation in 2018, and it was recently worth as much as $3 trillion.  One of those missteps was a relentless focus on virtual reality and the metaverse, despite the projects generating little revenue and burning tens of billions of dollars in cash.",https://finance.yahoo.com/m/6b1c1cd5-973a-33d3-b77e-bdab04df7a00/1-magnificent-stock-on-its.html,Motley Fool,2023-10-28,negative,0.7836629748344421
5,ETFs Highly Exposed to the 'Magnificent 7' Have Been Pummeled Amid a Tech Selloff,Lackluster earnings and soaring Treasury yields have dragged down big tech stocks and the ETFs exposed to them.,https://finance.yahoo.com/m/0a90d771-6a07-39d0-8218-f658260e181b/etfs-highly-exposed-to-the.html,Investopedia,2023-10-28,negative,0.9685659408569336
6,20 Most Valuable Business Lessons to Make You More Successful,"In this article, we will talk about the 20 most valuable business lessons to make you more successful. If you want to skip our detailed analysis, you can go directly to 5 Most Valuable Business Lessons to Make You More Successful. Building a successful business may be more complex than it sounds. Many companies go […]",https://finance.yahoo.com/news/20-most-valuable-business-lessons-115020181.html,Insider Monkey,2023-10-28,neutral,0.9230035543441772
7,Intel Shares Soar as CEO Says Chipmaker Is ‘Clearly Coming Back’,"(Bloomberg) -- Intel Corp. surged the most in nearly three years after predicting a return to sales growth in the fourth quarter, fueled by an improving personal computer market and a more competitive product line.Most Read from BloombergIsrael Latest: Air Force Drops Leaflets Urging Hamas SurrenderCanada Plans College Crackdown Amid Foreign Student TroublesIsrael Warns of ‘Long’ War as Invasion of Gaza Strip BeginsGM Hit With More Strikes While Stellantis Reaches Deal With UAWHow This Israel-Ha",https://finance.yahoo.com/news/intel-shares-soar-ceo-says-171756163.html,Bloomberg,2023-10-28,neutral,0.4210224151611328
8,Intel CEO: Why he isn’t scared of Nvidia or Qualcomm PC chips,Intel CEO Pat Gelsinger says the company isn't nervous about competition from Nvidia and Qualcomm in the PC chip space.,https://finance.yahoo.com/news/intel-ceo-why-he-isnt-scared-of-nvidia-or-qualcomm-pc-chips-165734345.html,Yahoo Finance,2023-10-28,neutral,0.8140490055084229
9,"S&P 500, Nvidia, Russell 2000: What the charts reveal","Small cap stocks, as represented by the iShares Russell 2000 ETF (IWM), have reached their lowest levels since President Biden's election, breaking below the 23-month low and 80-month low. Michele Schneider, Chief Strategist at Marketgauge.com, explains why ""typically that would be a recessionary indicator."" Watch the video above to hear Yahoo Finance's Jared Blikre and Michele Schneider analyze the charts for the S&P 500 ETF (SPY), Nvidia (NVDA), and Russell 2000 indexes. Click here to watch the full interview on the Yahoo Finance YouTube page or you can watch this full episode of Yahoo Finance Live here.",https://finance.yahoo.com/video/p-500-nvidia-russell-2000-160013242.html,Yahoo Finance Video,2023-10-28,negative,0.7844254374504089
